Time to create 108901 pairs for Array: 70.8181 seconds.
Time to search 2887 pairs for Array: 0.043374 seconds.

Pairs and their number of appearances:
[{monument, and} apps: 1]
[{of, representing} apps: 12]
[{the, italian} apps: 8]
[{be, useless} apps: 1]
[{many, difficulties} apps: 1]
[{passage, that} apps: 4]
[{of, some} apps: 35]
[{the, texts} apps: 19]
[{authoritative, clue} apps: 1]
[{of, alternative} apps: 1]
[{on, the} apps: 988]
[{marks, of} apps: 3]
[{thousand, manuscript} apps: 1]
[{for, the} apps: 289]
[{and, all} apps: 64]
[{the, date} apps: 15]
[{at, rome} apps: 20]
[{size, of} apps: 56]
[{present, arranged} apps: 1]
[{period, of} apps: 9]
[{von, humboldt} apps: 2]
[{of, the} apps: 4417]
[{their, private} apps: 1]
[{litta, famiglie} apps: 1]
[{at, the} apps: 466]
[{7, sughero} apps: 1]
[{perspective, general} apps: 2]
[{artist, when} apps: 2]
[{depicting, natural} apps: 2]
[{of, the} apps: 4417]
[{sigillorum, and} apps: 1]
[{s, works} apps: 3]
[{del, regno} apps: 1]
[{precepts, on} apps: 1]
[{the, task} apps: 6]
[{shade, and} apps: 22]
[{unpublished, and} apps: 1]
[{now, remain} apps: 1]
[{the, best} apps: 17]
[{in, the} apps: 1787]
[{description, vasari} apps: 1]
[{the, head} apps: 86]
[{and, say} apps: 1]
[{dufresne, of} apps: 1]
[{the, forms} apps: 30]
[{texts, which} apps: 3]
[{on, mathematics} apps: 2]
[{may, perhaps} apps: 4]
[{squandered, his} apps: 1]
[{j, poynter} apps: 1]
[{on, the} apps: 988]
[{on, gradation} apps: 2]
[{of, all} apps: 68]
[{you, breathe} apps: 2]
[{the, fault} apps: 1]
[{but, from} apps: 10]
[{with, the} apps: 412]
[{passing, through} apps: 13]
[{85, the} apps: 1]
[{proportions, of} apps: 38]
[{by, following} apps: 2]
[{pittura, for} apps: 1]
[{florence, at} apps: 2]
[{works, now} apps: 1]
[{328, 331} apps: 2]
[{some, notes} apps: 4]
[{and, the} apps: 1034]
[{and, nature} apps: 6]
[{structure, of} apps: 14]
[{of, the} apps: 4417]
[{racolto, tratto} apps: 1]
[{suggestions, for} apps: 10]
[{as, by} apps: 8]
[{marks, of} apps: 3]
[{of, leaves} apps: 4]
[{on, objects} apps: 3]
[{of, luminous} apps: 10]
[{method, of} apps: 20]
[{rain, 479} apps: 2]
[{each, other} apps: 78]
[{of, the} apps: 4417]
[{elements, of} apps: 9]
[{figure, 333} apps: 2]
[{notwithstanding, this} apps: 3]
[{of, lord} apps: 2]
[{l, da} apps: 10]
[{287, 288} apps: 2]
[{effects, of} apps: 15]
[{a, picture} apps: 29]
[{of, light} apps: 145]
[{advantage, of} apps: 2]
[{i, prolegomena} apps: 1]
[{leonardo, himself} apps: 22]
[{of, ownership} apps: 2]
[{human, figure} apps: 12]
[{158, 159} apps: 2]
[{perspective, 90} apps: 2]
[{painting, of} apps: 11]
[{by, specialists} apps: 1]
[{important, information} apps: 1]
[{on, the} apps: 988]
[{accord, with} apps: 2]
[{might, be} apps: 34]
[{of, the} apps: 4417]
[{of, perspective} apps: 34]
[{on, the} apps: 988]
[{some, notes} apps: 4]
[{422, the} apps: 1]
[{monsieur, louis} apps: 1]
[{work, it} apps: 3]
[{artist, when} apps: 2]
[{pictures, 577} apps: 2]
[{many, may} apps: 1]
[{obscura, 70} apps: 2]
[{gutenberg, ebook} apps: 4]
[{of, which} apps: 119]
[{to, be} apps: 412]
[{not, blame} apps: 1]
[{to, include} apps: 6]
[{536, 537} apps: 2]
[{rightly, in} apps: 1]
[{the, artist} apps: 17]
[{complications, in} apps: 2]
[{dell, acqua} apps: 8]
[{of, leonardo} apps: 78]
[{than, in} apps: 36]
[{mss, 1} apps: 2]
[{them, later} apps: 1]
[{representing, imaginary} apps: 2]
[{520, on} apps: 1]
[{considerable, fragment} apps: 1]
[{on, one} apps: 38]
[{of, the} apps: 4417]
[{interesting, original} apps: 1]
[{florence, in} apps: 9]
[{who, is} apps: 25]
[{of, paris} apps: 4]
[{612, 617} apps: 2]
[{to, be} apps: 412]
[{reason, of} apps: 48]
[{centrale, administrative} apps: 1]
[{clue, i} apps: 1]
[{works, now} apps: 1]
[{125, of} apps: 1]
[{body, 332} apps: 2]
[{and, at} apps: 75]
[{375, of} apps: 1]
[{by, calculation} apps: 3]
[{v, suggestions} apps: 2]
[{light, and} apps: 211]
[{may, reconstruct} apps: 1]
[{some, precepts} apps: 1]
[{74, 75} apps: 2]
[{made, and} apps: 9]
[{read, the} apps: 3]
[{for, pictures} apps: 3]
[{succession, of} apps: 2]
[{observations, turn} apps: 1]
[{namely, the} apps: 2]
[{of, colours} apps: 24]
[{an, index} apps: 1]
[{435, the} apps: 2]
[{suggestions, for} apps: 10]
[{by, leonardo} apps: 63]
[{o, reader} apps: 2]
[{the, beginning} apps: 51]
[{the, background} apps: 23]
[{been, published} apps: 21]
[{indeed, can} apps: 1]
[{books, on} apps: 11]
[{mighty, mind} apps: 1]
[{110, scheme} apps: 1]
[{altered, so} apps: 1]
[{the, deluge} apps: 24]
[{into, two} apps: 8]
[{it, that} apps: 14]
[{are, combined} apps: 1]
