Time to create 108901 pairs for Sorted Array: 244.269 seconds.
Time to search 4532 pairs for Sorted Array: 0.009686 seconds.

Pairs and their number of appearances:
[{martelli, is} apps: 1]
[{i, and} apps: 6]
[{not, merely} apps: 13]
[{of, volume} apps: 4]
[{i, have} apps: 120]
[{for, as} apps: 4]
[{do, they} apps: 6]
[{nor, divulge} apps: 2]
[{of, studies} apps: 2]
[{158, 159} apps: 2]
[{of, light} apps: 145]
[{the, many} apps: 6]
[{531, 532} apps: 2]
[{paris, published} apps: 1]
[{is, headed} apps: 2]
[{to, solve} apps: 2]
[{place, though} apps: 1]
[{arranged, in} apps: 7]
[{the, liberality} apps: 1]
[{objects, placed} apps: 7]
[{lights, of} apps: 6]
[{original, order} apps: 3]
[{that, the} apps: 462]
[{the, management} apps: 3]
[{case, 292} apps: 2]
[{growth, of} apps: 4]
[{landscape, painting} apps: 5]
[{out, his} apps: 7]
[{by, the} apps: 724]
[{of, the} apps: 4417]
[{the, original} apps: 202]
[{light, 146} apps: 2]
[{not, merely} apps: 13]
[{and, to} apps: 102]
[{for, this} apps: 34]
[{note, books} apps: 9]
[{663, bernardo} apps: 1]
[{294, the} apps: 2]
[{of, nature} apps: 31]
[{distance, of} apps: 42]
[{27th, 7} apps: 1]
[{where, all} apps: 4]
[{the, enormous} apps: 2]
[{and, dissertations} apps: 3]
[{book, on} apps: 38]
[{and, shadow} apps: 16]
[{a, few} apps: 30]
[{on, cast} apps: 2]
[{it, was} apps: 88]
[{with, reference} apps: 13]
[{1883, f} apps: 1]
[{in, painting} apps: 18]
[{peculiar, that} apps: 1]
[{position, of} apps: 26]
[{the, eye} apps: 521]
[{detached, phrases} apps: 1]
[{the, uffizi} apps: 5]
[{give, us} apps: 7]
[{of, light} apps: 145]
[{but, none} apps: 2]
[{landscape, painting} apps: 5]
[{investigations, and} apps: 2]
[{and, how} apps: 25]
[{indicate, their} apps: 1]
[{mathematician, read} apps: 1]
[{that, reason} apps: 2]
[{all, that} apps: 8]
[{the, task} apps: 6]
[{to, the} apps: 1381]
[{upon, the} apps: 34]
[{by, experiment} apps: 14]
[{writings, on} apps: 6]
[{of, his} apps: 149]
[{of, cast} apps: 7]
[{for, an} apps: 9]
[{was, to} apps: 8]
[{106, on} apps: 1]
[{to, possess} apps: 1]
[{system, and} apps: 1]
[{of, the} apps: 4417]
[{to, project} apps: 7]
[{in, his} apps: 116]
[{by, destroying} apps: 1]
[{and, indeed} apps: 7]
[{dispersed, throughout} apps: 1]
[{the, emotions} apps: 2]
[{vi, perspective} apps: 1]
[{mus, new} apps: 1]
[{26, 2002} apps: 1]
[{at, the} apps: 466]
[{xviith, and} apps: 1]
[{possible, to} apps: 25]
[{from, the} apps: 826]
[{library, at} apps: 11]
[{knowledge, 19} apps: 2]
[{his, principles} apps: 4]
[{the, book} apps: 35]
[{of, disappearance} apps: 8]
[{his, manuscripts} apps: 5]
[{papers, which} apps: 1]
[{pyramid, of} apps: 35]
[{the, notebooks} apps: 6]
[{in, itself} apps: 42]
[{into, one} apps: 1]
[{manuscripts, the} apps: 2]
[{electronic, texts} apps: 1]
[{to, copy} apps: 3]
[{since, if} apps: 10]
[{is, superior} apps: 4]
[{the, key} apps: 2]
[{29, the} apps: 3]
[{is, written} apps: 57]
[{derived, and} apps: 3]
[{337, the} apps: 2]
[{order, of} apps: 24]
[{relative, proportions} apps: 12]
[{hence, the} apps: 22]
[{635, 637} apps: 2]
[{of, forms} apps: 7]
[{the, last} apps: 56]
[{manzoni, at} apps: 1]
[{49, definition} apps: 1]
[{to, be} apps: 412]
[{ebook, was} apps: 1]
[{by, one} apps: 11]
[{circumstances, that} apps: 1]
[{in, the} apps: 1787]
[{of, time} apps: 22]
[{from, the} apps: 826]
[{proportions, of} apps: 38]
[{to, which} apps: 41]
[{holes, 213} apps: 2]
[{a, tube} apps: 1]
[{studying, 495} apps: 2]
[{derived, shadows} apps: 26]
[{on, pictures} apps: 1]
[{eye, as} apps: 16]
[{of, the} apps: 4417]
[{hand, and} apps: 24]
[{florence, the} apps: 3]
[{489, how} apps: 2]
[{at, different} apps: 8]
[{of, reflection} apps: 4]
[{cast, shadows} apps: 14]
[{a, disk} apps: 3]
[{at, milan} apps: 45]
[{1651, raphael} apps: 1]
[{to, acquire} apps: 10]
[{in, reading} apps: 5]
[{584, of} apps: 1]
[{has, been} apps: 79]
[{of, the} apps: 4417]
[{dissertations, the} apps: 1]
[{to, 1566} apps: 1]
[{words, which} apps: 3]
[{than, satisfactory} apps: 1]
[{subsequently, enabled} apps: 1]
[{valuable, advice} apps: 1]
[{to, the} apps: 1381]
[{may, further} apps: 1]
[{the, commendatore} apps: 2]
[{of, sight} apps: 43]
[{of, it} apps: 101]
[{137, 140} apps: 2]
[{of, cast} apps: 7]
[{or, by} apps: 15]
[{to, hold} apps: 3]
[{out, his} apps: 7]
[{at, different} apps: 8]
[{494, the} apps: 1]
[{vasari, says} apps: 1]
[{481, ix} apps: 1]
[{arrangement, of} apps: 29]
[{di, bandino} apps: 5]
[{of, the} apps: 4417]
[{j, poynter} apps: 1]
[{suggestions, for} apps: 10]
[{them, the} apps: 27]
[{the, effect} apps: 27]
[{and, of} apps: 137]
[{in, a} apps: 273]
[{i, and} apps: 6]
[{word, sughero} apps: 1]
[{all, taken} apps: 1]
[{at, the} apps: 466]
[{have, done} apps: 7]
[{380, 388} apps: 2]
[{centuries, nevertheless} apps: 1]
[{of, the} apps: 4417]
[{of, trees} apps: 46]
[{593, 600} apps: 2]
[{remarks, 128} apps: 2]
[{all, leonardo} apps: 4]
[{only, but} apps: 3]
[{biographer, evidently} apps: 1]
[{known, copies} apps: 1]
[{to, the} apps: 1381]
[{different, size} apps: 4]
[{at, the} apps: 466]
[{among, them} apps: 19]
[{painting, of} apps: 11]
[{his, manuscripts} apps: 5]
[{s, notes} apps: 7]
[{of, perspective} apps: 34]
[{artist, 483} apps: 2]
[{the, numerous} apps: 14]
[{the, effect} apps: 27]
[{but, none} apps: 2]
[{611, vi} apps: 1]
[{of, depicting} apps: 6]
[{how, to} apps: 45]
[{on, without} apps: 1]
[{with, regard} apps: 34]
[{whole, out} apps: 1]
[{of, the} apps: 4417]
[{ho, qui} apps: 1]
[{them, his} apps: 1]
[{of, leonardo} apps: 78]
[{not, insuperable} apps: 2]
[{and, some} apps: 13]
[{610, 611} apps: 2]
[{should, not} apps: 20]
[{the, apparent} apps: 15]
[{vasari, says} apps: 1]
[{assistance, these} apps: 1]
[{of, unfortunate} apps: 1]
[{one, time} apps: 3]
[{phenomena, 610} apps: 2]
[{difficulties, of} apps: 2]
[{first, conditions} apps: 2]
[{of, works} apps: 2]
[{down, in} apps: 8]
[{seventh, year} apps: 1]
[{to, the} apps: 1381]
[{remained, a} apps: 2]
[{the, shape} apps: 12]
[{oldest, and} apps: 1]
[{reverent, admirers} apps: 1]
[{battle, of} apps: 10]
[{we, must} apps: 16]
[{pictures, 577} apps: 2]
[{readings, and} apps: 1]
[{the, often} apps: 2]
[{without, attempting} apps: 1]
[{as, to} apps: 174]
[{seventh, year} apps: 1]
[{extensively, known} apps: 1]
[{that, is} apps: 281]
[{of, representing} apps: 12]
[{the, good} apps: 7]
[{for, which} apps: 7]
[{intensity, of} apps: 4]
[{to, read} apps: 4]
[{himself, could} apps: 1]
[{the, relative} apps: 27]
[{as, an} apps: 22]
[{done, it} apps: 2]
[{it, is} apps: 689]
[{be, the} apps: 135]
[{therefore, not} apps: 3]
[{time, from} apps: 1]
[{into, eight} apps: 1]
[{298, 299} apps: 1]
[{at, present} apps: 12]
[{depth, of} apps: 17]
[{the, effect} apps: 27]
[{passage, belongs} apps: 2]
[{ebook, the} apps: 2]
[{of, the} apps: 4417]
[{also, by} apps: 3]
[{a, suggestion} apps: 1]
[{of, mss} apps: 4]
[{to, make} apps: 77]
[{giov, morelli} apps: 2]
[{literary, labours} apps: 2]
[{order, or} apps: 2]
[{284, 286} apps: 2]
[{royal, library} apps: 4]
[{397, 402} apps: 1]
[{has, not} apps: 15]
[{by, experiment} apps: 14]
[{9, 13} apps: 3]
[{but, of} apps: 10]
[{colours, in} apps: 13]
[{be, that} apps: 13]
[{florence, in} apps: 9]
[{of, the} apps: 4417]
[{by, specialists} apps: 1]
[{s, intention} apps: 3]
[{proportions, of} apps: 38]
[{differences, of} apps: 5]
[{case, 292} apps: 2]
[{on, the} apps: 988]
[{of, the} apps: 4417]
[{runs, backwards} apps: 2]
[{of, several} apps: 14]
[{it, stood} apps: 2]
[{for, an} apps: 9]
[{hence, the} apps: 22]
[{of, astronomy} apps: 5]
[{for, instead} apps: 1]
[{for, an} apps: 9]
[{497, on} apps: 1]
[{of, shadows} apps: 18]
[{he, laboured} apps: 1]
[{state, that} apps: 4]
[{emotions, 584} apps: 2]
[{how, to} apps: 45]
[{46, of} apps: 1]
[{reading, the} apps: 3]
[{leonardo, s} apps: 200]
[{nay, yet} apps: 1]
[{now, on} apps: 1]
[{601, 603} apps: 2]
[{have, never} apps: 6]
[{were, infinitely} apps: 1]
[{on, pictures} apps: 1]
[{keeper, of} apps: 2]
[{i, and} apps: 6]
[{torso, from} apps: 2]
[{barto, has} apps: 1]
[{the, truth} apps: 4]
[{327, proportions} apps: 1]
[{arrangement, of} apps: 29]
[{than, in} apps: 36]
[{368, 375} apps: 2]
[{lights, of} apps: 6]
[{nor, are} apps: 1]
[{to, pose} apps: 2]
[{the, same} apps: 517]
[{in, the} apps: 1787]
[{271, combination} apps: 1]
[{these, afford} apps: 1]
[{eye, 141} apps: 2]
[{arrangement, was} apps: 3]
[{are, a} apps: 11]
[{the, eye} apps: 521]
[{position, of} apps: 26]
[{collections, for} apps: 1]
[{first, book} apps: 8]
[{dujardin, of} apps: 1]
[{to, have} apps: 91]
[{the, leg} apps: 33]
[{portraits, 571} apps: 2]
[{the, dispositions} apps: 3]
[{510, 512} apps: 2]
[{the, manuscripts} apps: 23]
[{beginning, of} apps: 43]
[{he, was} apps: 47]
[{power, of} apps: 15]
[{lighting, of} apps: 4]
[{vitruvius, scheme} apps: 2]
[{painting, classification} apps: 1]
[{several, times} apps: 8]
[{which, i} apps: 44]
[{321, proportions} apps: 1]
[{this, ebook} apps: 14]
[{vi, the} apps: 2]
[{materials, of} apps: 3]
[{sheets, the} apps: 1]
[{the, light} apps: 248]
[{their, contents} apps: 5]
[{663, bernardo} apps: 1]
[{them, aside} apps: 2]
[{relations, of} apps: 6]
[{philosophy, and} apps: 3]
[{to, leonardos} apps: 1]
[{of, mss} apps: 4]
[{volume, i} apps: 3]
[{188, 191} apps: 2]
[{official, catalogue} apps: 1]
[{light, and} apps: 211]
[{document, thus} apps: 1]
[{of, light} apps: 145]
[{and, in} apps: 220]
[{these, by} apps: 3]
[{and, back} apps: 2]
[{cases, in} apps: 2]
[{111, different} apps: 1]
[{is, above} apps: 18]
[{on, one} apps: 38]
[{of, the} apps: 4417]
[{wanted, to} apps: 6]
[{the, prices} apps: 1]
[{to, a} apps: 109]
[{the, directors} apps: 1]
[{end, on} apps: 1]
[{for, much} apps: 2]
[{of, art} apps: 6]
[{other, information} apps: 2]
[{much, of} apps: 11]
[{of, the} apps: 4417]
[{strength, in} apps: 4]
[{659, on} apps: 1]
[{occupied, his} apps: 2]
[{referring, to} apps: 22]
[{and, restrictions} apps: 1]
[{this, passage} apps: 103]
[{recompose, the} apps: 1]
[{purpose, the} apps: 3]
[{me, throughout} apps: 1]
[{readings, and} apps: 1]
[{me, to} apps: 30]
[{a, certain} apps: 30]
[{readable, by} apps: 1]
[{way, of} apps: 17]
[{the, general} apps: 19]
[{the, motion} apps: 34]
[{peculiarity, in} apps: 1]
[{674, 678} apps: 2]
[{of, the} apps: 4417]
[{proposition, its} apps: 1]
[{hence, the} apps: 22]
[{many, difficulties} apps: 1]
[{leonardo, has} apps: 17]
[{passages, which} apps: 7]
[{in, the} apps: 1787]
[{p, r} apps: 13]
[{s, as} apps: 4]
[{before, and} apps: 5]
[{thirteen, leaves} apps: 1]
[{of, the} apps: 4417]
[{of, derived} apps: 14]
[{to, the} apps: 1381]
[{that, the} apps: 462]
[{a, picture} apps: 29]
[{his, manuscripts} apps: 5]
[{complete, of} apps: 1]
[{not, insuperable} apps: 2]
[{which, o} apps: 2]
